_id,__v,deviceId,sensorId,sensorReading,sensorType,timestamp,topic
5c65f959e0b12e539fdca119,0,W,l,948,d,2019-02-14T23:27:21.163Z,w
5c65f95be0b12e539fdca11b,0,W,l,948,d,2019-02-14T23:27:23.131Z,w
5c65f95de0b12e539fdca11d,0,W,l,948,d,2019-02-14T23:27:25.131Z,w
5c65f95fe0b12e539fdca11f,0,W,l,948,d,2019-02-14T23:27:27.131Z,w
5c65f961e0b12e539fdca121,0,W,l,948,d,2019-02-14T23:27:29.132Z,w
5c65f963e0b12e539fdca123,0,W,l,948,d,2019-02-14T23:27:31.131Z,w
5c65f965e0b12e539fdca125,0,W,l,948,d,2019-02-14T23:27:33.159Z,w
5c65f967e0b12e539fdca127,0,W,l,948,d,2019-02-14T23:27:35.140Z,w
5c65f969e0b12e539fdca129,0,W,l,948,d,2019-02-14T23:27:37.162Z,w
5c65f96be0b12e539fdca12b,0,W,l,948,d,2019-02-14T23:27:39.147Z,w
5c65f96de0b12e539fdca12d,0,W,l,948,d,2019-02-14T23:27:41.151Z,w
5c65f96fe0b12e539fdca12f,0,W,l,948,d,2019-02-14T23:27:43.150Z,w
5c65f971e0b12e539fdca131,0,W,l,948,d,2019-02-14T23:27:45.135Z,w
5c65f973e0b12e539fdca133,0,W,l,948,d,2019-02-14T23:27:47.134Z,w
5c65f975e0b12e539fdca135,0,W,l,948,d,2019-02-14T23:27:49.144Z,w
5c65f977e0b12e539fdca137,0,W,l,948,d,2019-02-14T23:27:51.130Z,w
5c65f979e0b12e539fdca139,0,W,l,948,d,2019-02-14T23:27:53.169Z,w
5c65f97be0b12e539fdca13b,0,W,l,948,d,2019-02-14T23:27:55.144Z,w
5c65f97de0b12e539fdca13d,0,W,l,948,d,2019-02-14T23:27:57.135Z,w
5c65f97fe0b12e539fdca13f,0,W,l,948,d,2019-02-14T23:27:59.150Z,w
5c65f981e0b12e539fdca141,0,W,l,948,d,2019-02-14T23:28:01.149Z,w
5c65f983e0b12e539fdca143,0,W,l,948,d,2019-02-14T23:28:03.150Z,w
5c65f985e0b12e539fdca145,0,W,l,948,d,2019-02-14T23:28:05.151Z,w
5c65f987e0b12e539fdca147,0,W,l,948,d,2019-02-14T23:28:07.135Z,w
5c65f989e0b12e539fdca149,0,W,l,948,d,2019-02-14T23:28:09.175Z,w
5c65f98be0b12e539fdca14b,0,W,l,948,d,2019-02-14T23:28:11.175Z,w
5c65f98de0b12e539fdca14d,0,W,l,948,d,2019-02-14T23:28:13.150Z,w
5c65f98fe0b12e539fdca14f,0,W,l,948,d,2019-02-14T23:28:15.175Z,w
5c65f991e0b12e539fdca151,0,W,l,948,d,2019-02-14T23:28:17.140Z,w
5c65f993e0b12e539fdca153,0,W,l,948,d,2019-02-14T23:28:19.174Z,w
5c65f995e0b12e539fdca155,0,W,l,948,d,2019-02-14T23:28:21.139Z,w
5c65f997e0b12e539fdca157,0,W,l,948,d,2019-02-14T23:28:23.174Z,w
5c65f999e0b12e539fdca159,0,W,l,948,d,2019-02-14T23:28:25.334Z,w
5c65f99be0b12e539fdca15b,0,W,l,948,d,2019-02-14T23:28:27.175Z,w
5c65f99de0b12e539fdca15d,0,W,l,948,d,2019-02-14T23:28:29.149Z,w
5c65f99fe0b12e539fdca15f,0,W,l,948,d,2019-02-14T23:28:31.174Z,w
5c65f9a1e0b12e539fdca161,0,W,l,948,d,2019-02-14T23:28:33.174Z,w
5c65f9a3e0b12e539fdca163,0,W,l,948,d,2019-02-14T23:28:35.174Z,w
5c65f9a5e0b12e539fdca165,0,W,l,948,d,2019-02-14T23:28:37.149Z,w
5c65f9a7e0b12e539fdca167,0,W,l,948,d,2019-02-14T23:28:39.174Z,w
